head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
0.401163846,0.135779092,,,,,0.9155566,0,0,0,1.219516327,,,,,FALSE,TRUE
0.265249336,-0.781828093,,,,,0.738343642,0,0,0,0.654104796,0,,0,1,FALSE,TRUE
0.888960841,-0.036621167,,,,,0.862628737,0,0,0,0.376325333,0,,0,1,FALSE,TRUE
0.965171365,-0.050310562,,,,,0.918204397,0,0,0,0.342816876,1,,0,1,FALSE,TRUE
0.951974058,-0.077064982,,,,,0.928680873,0,0,0,0.475510799,1,,0,1,FALSE,FALSE
0.967894305,-0.12793451,,,,,0.834757392,0,0,0,-0.092339781,0,,0,0,FALSE,FALSE
0.975038268,0.045023581,,,,,0.89795369,0,0,0,-0.050277416,1,,1,1,FALSE,FALSE
0.865806929,-0.27039549,,,,,0.887225559,0,0,0,-0.050277416,0,,0,1,FALSE,FALSE
0.865806929,-0.27039549,,,,,0.887225559,0,0,0,-0.050277416,0,,0,1,FALSE,FALSE
0.805922892,-0.402504386,,,,,0.844028617,0,0,0,0.341433312,1,,0,0,FALSE,FALSE
0.878906633,-0.029332062,,,,,0.962465816,0,0,0,0.085713752,1,,1,1,FALSE,TRUE
0.878906633,-0.029332062,,,,,0.962465816,0,0,0,0.12036823,0,,0,0,FALSE,TRUE
0.878906633,-0.029332062,,,,,0.962465816,0,0,0,-0.065659019,0,,0,0,FALSE,TRUE
1.197381906,-0.495644947,,,,,0.859287185,0,0,0,0.282933717,0,,0,0,TRUE,TRUE
1.197381906,-0.495644947,,,,,0.859287185,0,0,0,0.282933717,0,,0,1,TRUE,TRUE
1.277931325,-0.269215528,,,,,0.882946988,0,0,0,1.016362495,1,,0,0,TRUE,TRUE
1.277931325,-0.269215528,,,,,0.882946988,0,0,0,1.016362495,0,,0,1,TRUE,TRUE
0.611374116,0.033441809,,,,,0.990203141,0,0,0,-0.78539883,1,,0,0,TRUE,TRUE
0.555344046,-0.035364938,,,,,0.979269338,0,0,0,-0.664547219,0,,0,0,TRUE,TRUE
0.579310296,-0.049401425,,,,,0.954720984,0,0,0,-0.374808564,0,,1,0,TRUE,TRUE
0.591322678,-0.041129231,,,,,0.962976619,0,0,0,-0.374808564,1,,0,1,TRUE,TRUE
0.574370776,-0.032295361,,,,,0.926385918,0,0,0,-0.069717209,1,,0,0,TRUE,TRUE
0.654304623,-0.106160172,,,,,0.937152655,0,0,0,0.106154775,0,,0,0,TRUE,TRUE
0.535025222,-0.089682472,,,,,0.953724045,0,0,0,0.445481208,0,,0,1,TRUE,TRUE
0.569309383,-0.050473738,,,,,0.966494368,0,0,0,0.392761449,0,,0,1,TRUE,TRUE
0.411989994,-0.161307135,,,,,0.917763427,0,0,0,0.764753788,0,,0,1,TRUE,TRUE
0.376606273,-0.032017849,,,,,0.914087932,0,0,0,0.986082264,0,,0,0,TRUE,TRUE
0.382858487,-0.345548021,,,,,0.855375477,0,0,0,0.904595374,0,,0,0,TRUE,TRUE
0.558160209,0.208678068,,,,,0.937677537,0,0,0,0.058825118,1,,0,0,TRUE,TRUE
0.582373051,0.157438337,,,,,0.977199882,0,0,0,-0.136836662,1,,0,0,TRUE,TRUE
0.515020108,0.116351776,,,,,0.920502257,0,0,0,0.785895834,0,,0,1,TRUE,TRUE
0.655475654,-0.016248778,,,,,0.917172104,0,0,0,1.190166971,1,,0,1,TRUE,TRUE
0.125546769,-0.31893348,,,,,0.77029801,0,0,0,1.806157197,0,,1,0,TRUE,FALSE
0.125546769,-0.31893348,,,,,0.77029801,0,0,0,1.806157197,0,,1,0,TRUE,
0.125546769,-0.31893348,,,,,0.77029801,0,0,0,1.806157197,,,,,TRUE,TRUE
-0.626137663,0.001508284,,,,,0.996182288,0,0,0,-0.000303777,1,,0,1,TRUE,TRUE
-0.5968405,0.025018289,,,,,0.940744019,0,0,0,0.268301567,1,,1,1,TRUE,TRUE
-0.533546352,0.083455025,,,,,0.943978416,0,0,0,0.220687953,1,,0,1,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.157390064,1,,0,1,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.048551761,1,,0,1,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.053826989,1,,1,1,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.088822481,1,,0,1,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.105127578,1,,0,0,TRUE,TRUE
-0.603751037,0.008968601,,,,,0.986373162,0,0,0,0.186301824,0,,0,1,TRUE,TRUE
0.607314189,0.000208166,,,,,0.946564865,0,0,0,0.549641746,1,,0,1,TRUE,FALSE
0.638879726,-0.113770097,,,,,0.986219971,0,0,0,0.809166517,0,,0,0,TRUE,FALSE
-0.659481346,0.100116115,,,,,0.984431286,0,0,0,-0.066083972,0,,0,0,TRUE,FALSE
-0.650890824,0.117977262,,,,,0.980421022,0,0,0,0.01249618,0,,0,0,TRUE,FALSE
-0.621246875,0.137690398,,,,,0.989581189,0,0,0,0.044032164,0,,0,0,TRUE,FALSE
-0.613956856,0.152743792,,,,,0.991231818,0,0,0,-0.118589979,0,,0,0,TRUE,FALSE
-0.549823148,-0.011112605,,,,,0.97146308,0,0,0,0.058358552,1,,0,1,TRUE,FALSE
-0.562051031,-0.094935787,,,,,0.960813027,0,0,0,-0.077381867,1,,1,1,TRUE,FALSE
-0.662333165,0.074439862,,,,,0.953672275,0,0,0,-0.205666431,1,,1,0,TRUE,FALSE
-0.564972065,0.077930006,,,,,0.93845527,0,0,0,-0.337632592,0,,0,1,TRUE,FALSE
-0.683185746,-0.014863099,,,,,0.963505087,0,0,0,-0.015074959,1,,0,0,TRUE,FALSE
-0.645956934,0.08287637,,,,,0.97399338,0,0,0,-0.101189283,1,,0,1,TRUE,FALSE
-0.650232405,-0.002988447,,,,,0.943246778,0,0,0,-0.101189283,0,,0,0,TRUE,FALSE
-0.898820925,0.232827806,,,,,0.976871407,0,0,0,-0.647203315,0,,0,0,TRUE,TRUE
-0.898820925,0.232827806,,,,,0.976871407,0,0,0,-0.647203315,0,,0,0,TRUE,TRUE
-0.898820925,0.232827806,,,,,0.976871407,0,0,0,-0.647203315,,,,,TRUE,TRUE
-0.898820925,0.232827806,,,,,0.976871407,0,0,0,-0.647203315,,,,,TRUE,TRUE
-0.898820925,0.232827806,,,,,0.976871407,0,0,0,-0.647203315,,,,,TRUE,TRUE
0.637870653,-0.039125161,,,,,0.995369763,0,0,0,0.044164334,0,,0,1,TRUE,FALSE
0.599037481,-0.028434506,,,,,0.985863103,0,0,0,-0.065087989,1,,0,0,TRUE,FALSE
0.535493929,-0.040292395,,,,,0.980314926,0,0,0,0.370177471,1,,0,0,TRUE,FALSE
0.305088487,-0.287257521,,,,,0.836953494,0,0,0,0.532649223,0,,0,0,TRUE,FALSE
0.307514755,-0.42365081,,,,,0.808382975,0,0,0,-0.119503191,1,,1,0,TRUE,FALSE
0.307514755,-0.42365081,,,,,0.808382975,0,0,0,-0.119503191,0,,1,0,TRUE,FALSE
0.576149846,-0.056411973,,,,,0.989297942,0,0,0,-0.002282365,1,,0,1,TRUE,FALSE
0.573955285,-0.054110373,,,,,0.941435483,0,0,0,0.055192578,1,,0,1,TRUE,FALSE
0.579935594,-0.067809159,,,,,0.952946036,0,0,0,0.216491131,1,,0,1,TRUE,FALSE
0.579935594,-0.067809159,,,,,0.952946036,0,0,0,0.065783401,1,,0,0,TRUE,FALSE
-0.472130796,0.020688403,,,,,0.984666657,0,0,0,-0.187779144,1,,0,1,TRUE,FALSE
-0.454110945,-0.001692283,,,,,0.976205357,0,0,0,-0.4354454,0,,0,0,TRUE,FALSE
0.484519684,-0.059126837,,,,,0.959171237,0,0,0,-0.530791254,0,,0,1,TRUE,FALSE
0.574755276,-0.075782932,,,,,0.971685737,0,0,0,-0.530791254,0,,0,0,TRUE,FALSE
0.560736338,-0.070917018,,,,,0.974921025,0,0,0,0.566400059,1,,0,1,TRUE,FALSE
0.519594958,0.136611852,,,,,0.916982092,0,0,0,0.04968458,1,,0,0,TRUE,TRUE
0.41959743,0.248956357,,,,,0.9008586,0,0,0,0.205830832,0,,0,0,TRUE,TRUE
0.643709221,-0.062030765,,,,,0.979393679,0,0,0,0.800659092,0,,0,1,TRUE,FALSE
0.452668678,-0.093525364,,,,,0.981538825,0,0,0,0.800659092,0,,0,1,FALSE,FALSE
0.422305758,-0.129198664,,,,,0.9806204,0,0,0,0.800659092,0,,0,1,FALSE,FALSE
