head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
0.431502281,0.01980618,0.218800973,0.0392802,-0.280938803,0.043953101,0.95791366,0,0,0,0,0,0,1,1.324821677,-0.294229351,0.033989114,0.165092569,-0.728537083,0.062166447,0.661901424,happy,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,armsCrossed,FALSE,FALSE
0.415202755,0.053793885,0.268826798,0.04902128,-0.245044087,0.086543338,0.964396475,0,0,0,0,0,0,1,1.071065179,0.009072405,-0.150737079,-0.027374071,-0.18260782,-0.031415594,0.982302451,neutual,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,other,FALSE,FALSE
0.400375457,-0.002655624,0.523586742,0.290054473,0.005775244,0.003382119,0.956986735,0,0,0,0,0,0,1,1.108527557,-0.053623537,-0.072725157,0.016039635,-0.150920531,-0.063467302,0.986376006,happy,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,armsCrossed,FALSE,FALSE
0.343213295,0.025348795,0.326653598,-0.03102531,-0.405121573,-0.027774927,0.913314017,0,0,0,0,0,0,1,1.048018096,-0.182886726,0.502332608,0.079506264,-0.226816233,0.015749223,0.970559175,happy,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,armsCrossed,FALSE,FALSE
0.365348574,0.012912912,0.285685355,-0.026642143,-0.370882843,-0.031419899,0.927765543,0,0,0,0,0,0,1,1.105630572,-0.192786083,0.38617049,0.099136992,-0.169575468,0.007461437,0.980489849,happy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,armsCrossed,FALSE,FALSE
0.375833518,0.033603088,0.324977577,0.010601448,-0.288850338,0.054465763,0.955764915,0,0,0,0,0,0,1,1.088242879,-0.14320007,0.42962538,0.081189481,-0.179934755,0.030463028,0.979848843,happy,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,armsCrossed,FALSE,FALSE
0.36197439,0.14900185,0.264936038,-0.162245328,-0.337942098,0.203236316,0.904525617,0,0,0,0,0,0,1,1.059208483,0.113368421,0.611570225,0.022709512,-0.265725799,0.145668695,0.952709142,happy,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,other,FALSE,FALSE
0.984714783,-0.084939026,0.29420637,-0.135350088,-0.229868862,0.067664041,0.961385582,0,0,0,0,0,0,1,0.487472061,0.07321763,0.169990891,-0.166582303,-0.212782243,-0.010592,0.962736653,neutual,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,armsCrossed,FALSE,FALSE
1.101040429,-0.148884938,-0.037584821,0.041571939,-0.085823323,0.223383136,0.970054692,0,0,0,0,0,0,1,0.49273004,0.048715024,0.108939196,-0.081942595,-0.333580284,-0.02295316,0.938873132,sad,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,handsOnFace,FALSE,FALSE
1.056800155,-0.099037263,0.158264014,0.096242001,-0.077824429,0.244963052,0.961599677,0,0,0,0,0,0,1,0.524262804,0.055724187,0.049295017,-0.036099674,-0.280621625,0.006024135,0.959120444,neutual,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,handsOnFace,FALSE,FALSE
1.056800155,-0.099037263,0.158264014,0.096242001,-0.077824429,0.244963052,0.961599677,0,0,0,0,0,0,1,0.494265611,-0.009980345,-0.501278064,-0.169584453,-0.314437923,-0.107095848,0.927847178,happy,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,handsOnFace,FALSE,FALSE
